Lead ID,Lead Name,Email,Phone,Lead Source,Status,Created Date,Converted Date,Assigned To
L232,Hunter Garcia,geraldgomez@douglas-smith.info,+1-297-977-8026x16858,Website,Qualified,2025-01-11,,Agent 6
L233,Susan Johnson,fferguson@edwards.biz,(383)927-5050x9149,Referral,Lost,2025-01-28,2025-01-27,Agent 9
L234,Evelyn Smith,hgomez@richards.biz,0146836724,Referral,Converted,2024-11-15,,Agent 2
L235,Randy Burke,leecynthia@yates.info,001-352-877-7392,Cold Call,Qualified,2024-12-13,2024-12-19,Agent 4
L236,Ashley Watson,sarahwalker@yahoo.com,+1-775-955-5110x6242,Referral,Converted,2024-10-11,2025-01-07,Agent 9
L237,Francis Shields,emilyfields@owen.info,707.535.9131,Social Media,Contacted,2024-09-10,2025-02-12,Agent 8
L238,Trevor Green,richardsonbrittany@hotmail.com,001-810-901-2037x692,Social Media,Lost,2024-09-12,2025-02-05,Agent 2
L239,Gregory Richardson,stewartdouglas@yahoo.com,0904352886,Social Media,Contacted,2024-09-15,,Agent 2
L240,Tanner Neal,jennacurtis@garcia-may.com,001-665-542-6068x94789,Cold Call,New,2024-10-13,,Agent 4
L241,John Crawford,david12@rice.com,001-573-551-4847x62306,Cold Call,Converted,2025-02-06,,Agent 10
L242,Joseph Nelson,bbautista@rogers.com,(763)494-1742x7797,Social Media,Qualified,2025-01-19,,Agent 1
L243,Michael Scott,kelseystone@schultz-lopez.com,001-455-419-4960,Email Campaign,Lost,2025-01-14,2025-01-02,Agent 6
L244,James Coffey,smitheric@gmail.com,767.702.8607x65907,Website,Qualified,2025-01-21,2025-02-03,Agent 7
L245,Philip Green,jennifer72@barker.com,718-821-6830,Cold Call,New,2024-10-14,,Agent 10
L246,April Lester,bsilva@hotmail.com,001-940-451-6752x42335,Email Campaign,Qualified,2025-02-09,2025-02-03,Agent 4
L247,Thomas Estrada,dflores@hotmail.com,+1-084-714-9604x2797,Email Campaign,Converted,2024-12-31,,Agent 1
L248,Sandra Miller,littlephillip@gmail.com,(987)605-9797,Email Campaign,Lost,2024-11-13,2024-11-25,Agent 3
L249,Melissa Gonzalez,tristansteele@hotmail.com,001-660-564-5339x15349,Social Media,Lost,2024-09-21,2024-12-17,Agent 6
L250,Lisa Spence,bgraves@martinez-jensen.info,142-972-9313x884,Email Campaign,Lost,2024-10-25,,Agent 8
L251,William Murphy,kevinbrooks@gmail.com,939-556-9506,Social Media,Contacted,2025-01-04,,Agent 4
L252,Angela Moss,ashley96@gmail.com,001-919-029-4229,Referral,Converted,2025-01-06,,Agent 9
L253,Jennifer Spears,ethanhenderson@daniels.com,825-046-8967,Website,Lost,2024-11-04,2025-01-21,Agent 9
L254,Jessica Adkins PhD,billyarias@hotmail.com,+1-130-732-1244,Referral,Converted,2025-02-16,,Agent 7
L255,Ryan Gross,alexanderrogers@martinez.com,2154606325,Social Media,New,2024-10-02,,Agent 10
L256,Ronald Harris,erik42@yahoo.com,731-895-9890,Referral,Lost,2025-01-10,2025-01-07,Agent 7
L257,Christopher French,tayloradam@yahoo.com,952-527-0632,Website,Contacted,2025-02-16,,Agent 2
L258,Benjamin Jones,toddodom@perry.com,+1-182-305-9969x2281,Referral,Qualified,2025-02-01,,Agent 6
L259,Jillian Adams,sanchezhannah@brown.org,(314)508-2755,Social Media,Qualified,2024-10-05,2024-12-12,Agent 8
L260,William Williams,wmeyers@ellison-simpson.com,807-295-0741x8283,Website,Converted,2024-09-09,2025-02-02,Agent 2
L261,Rebekah Phillips,xherring@gmail.com,796.020.5864x985,Email Campaign,Contacted,2024-09-10,,Agent 9
L262,Jillian Scott,michellefreeman@gmail.com,736.552.3243,Referral,Qualified,2024-12-26,,Agent 6
L263,Jennifer White,grichardson@gmail.com,(559)096-5997x28788,Email Campaign,Lost,2025-01-23,,Agent 8
L264,James Andrews,thawkins@harvey.biz,(706)156-5127,Email Campaign,Qualified,2024-12-07,2025-01-17,Agent 2
L265,Martin Patel,ashley98@williams-warner.org,2681157648,Social Media,Qualified,2025-01-05,,Agent 8
L266,Tina Rodriguez,qwiggins@garcia.org,461.687.5700x7002,Email Campaign,New,2024-12-14,,Agent 5
L267,Michael Pearson,rossgregory@snyder-wright.com,189-747-1920,Referral,Contacted,2025-02-15,,Agent 5
L268,Terri Schmidt,millssherry@gmail.com,001-877-157-8564x3356,Email Campaign,Lost,2024-09-18,,Agent 1
L269,Rebecca Hogan,thomasharris@hotmail.com,001-849-079-9985x3419,Website,New,2024-10-21,,Agent 2
L270,Michael Freeman PhD,dianewilliams@jackson.org,(734)441-8417,Referral,Qualified,2024-11-11,,Agent 5
L271,Joseph Taylor,qsolis@sawyer.com,(107)457-9114x377,Referral,Converted,2024-11-16,2024-12-22,Agent 5
L272,Aaron Gonzalez,mariamiller@yates.biz,001-031-663-6064,Referral,Contacted,2025-01-23,2024-12-25,Agent 10
L273,Cynthia Price,jrodriguez@perry.org,+1-269-494-7346x3065,Email Campaign,Converted,2025-01-29,,Agent 2
L274,Danielle Benson,kaylarussell@hotmail.com,001-002-718-1392,Cold Call,Converted,2024-12-01,,Agent 5
L275,April Flores,christopher62@martinez.biz,(854)845-9897x0925,Referral,Converted,2024-10-26,2024-12-24,Agent 6
L276,Hunter Hernandez,hallsharon@yahoo.com,+1-644-512-5423x893,Referral,Converted,2024-08-28,2025-01-20,Agent 10
L277,Michael Simpson,mcook@schultz.org,(697)937-3273,Cold Call,Converted,2024-10-16,2025-01-17,Agent 10
L278,Adam Harris,debra59@brown-peterson.info,+1-241-284-4761,Email Campaign,Contacted,2024-10-20,2024-12-20,Agent 3
L279,Christopher Bennett,derekspencer@myers.org,071-408-2550x4281,Cold Call,Qualified,2025-01-01,2025-02-08,Agent 3
L280,Aaron Carr,michele10@beck.com,(938)975-3210x0102,Referral,Contacted,2024-11-15,2025-01-05,Agent 6
L281,Ashley Larson,joshua81@butler.com,(974)231-7340x8464,Cold Call,Qualified,2024-11-23,,Agent 5
L282,Brandon Bradley,daniel67@hotmail.com,(817)628-1832,Social Media,New,2024-12-27,,Agent 4
L283,James Wright,patrick28@yahoo.com,(494)170-7460x2142,Social Media,Qualified,2025-02-15,,Agent 6
L284,Mrs. Sierra Gomez,david79@west.com,848-979-2809,Website,Lost,2024-11-09,2024-11-19,Agent 8
L285,Angela Best,aaron68@hotmail.com,+1-585-323-3689x6057,Social Media,Lost,2024-09-29,,Agent 8
L286,Karen Moore,kevinmorales@hobbs.com,734.932.0963,Social Media,Contacted,2024-11-05,,Agent 4
L287,Evelyn Rice,tayloramber@byrd.org,294-775-1732x376,Email Campaign,Converted,2025-01-10,2024-11-26,Agent 10
L288,Richard Morris,spencermichael@jones.com,6274128907,Website,New,2025-02-16,,Agent 2
L289,Alicia Steele,lorireyes@yahoo.com,001-352-937-6315x62252,Referral,Qualified,2024-11-08,2025-01-22,Agent 9
L290,Kenneth Joseph,christopher75@lane-burns.com,+1-993-457-2361x43084,Social Media,Converted,2025-01-08,,Agent 3
L291,Carly Spencer,devinwebb@yahoo.com,326.143.1570x258,Cold Call,New,2025-02-08,2025-01-29,Agent 4
L292,Karen Greene,kthompson@castaneda.com,603.082.2907x151,Social Media,Qualified,2024-11-19,,Agent 2
L293,Cesar Pace,harrislisa@paul.info,6472793836,Website,Contacted,2024-10-20,2025-01-21,Agent 6
L294,Miranda Woods,jacobsanders@palmer.biz,001-409-988-6304x41742,Email Campaign,New,2025-02-05,,Agent 3
L295,Nicholas Walker,michaelwagner@hotmail.com,(819)633-3452x392,Social Media,Lost,2025-01-23,,Agent 6
L296,Kristin Maldonado,jennyharris@hall.com,001-984-057-7036x5770,Social Media,Qualified,2024-12-07,,Agent 2
L297,Nancy Campbell,vpaul@white.com,580.812.7698,Email Campaign,Lost,2025-02-06,2024-12-15,Agent 3
L298,Brittany Hoffman,pthompson@simmons-hayden.com,001-833-105-8997x415,Social Media,Qualified,2024-11-13,2024-11-22,Agent 9
L299,Paul Ruiz,martinvirginia@torres.info,+1-854-270-5325x234,Website,Converted,2024-10-31,2025-02-14,Agent 1
L300,Melissa Hardin,gary20@strickland.com,621.356.6744,Referral,Converted,2024-08-28,,Agent 3
